TEAM,ADJOE_2025,ADJDE_2025,BARTHAG_2025,EFG_O_2025,EFG_D_2025,TOR_2025,TORD_2025,ORB_2025,DRB_2025,FTR_2025,FTRD_2025,2P_O_2025,2P_D_2025,3P_O_2025,3P_D_2025,SEED_2025
Boise St.,115.16,99.42,0.844,52.1,49.6,16.9,16.1,33.2,22.6,39.2,31.1,56.3,48.6,31.0,34.2,
Boston College,105.242,106.268,0.472,48.9,51.9,17.3,15.5,28.8,30.0,31.5,37.1,47.5,51.3,34.5,35.2,
Boston University,98.244,111.461,0.19,50.2,52.4,20.6,16.7,32.5,23.4,30.7,32.0,50.7,51.2,33.0,36.1,
Bowling Green,99.66,108.531,0.273,49.9,52.6,17.5,17.3,25.6,27.4,34.5,29.8,49.6,54.6,33.5,33.2,
Bradley,111.219,104.277,0.677,56.8,47.9,17.3,15.6,26.3,28.1,32.4,35.5,54.5,47.4,40.0,32.4,
Brown,102.448,105.623,0.413,51.1,49.3,17.1,15.7,30.1,30.7,28.0,29.1,52.1,49.2,33.1,32.9,
Bryant,105.839,105.437,0.511,51.0,47.7,16.5,16.4,34.2,28.8,30.4,30.0,51.5,47.3,33.4,32.2,15.0
Bucknell,103.516,107.797,0.386,53.8,50.3,18.6,17.0,26.0,28.0,36.7,35.4,54.4,49.0,35.3,34.7,
Buffalo,95.637,113.204,0.126,48.8,54.2,19.5,16.2,24.8,31.3,32.7,31.2,51.3,53.4,30.5,37.2,
Butler,116.078,105.395,0.752,53.0,49.4,16.4,11.5,26.4,29.3,37.3,20.4,51.7,50.9,36.6,31.3,
BYU,125.489,99.246,0.937,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,6.0
Cal Baptist,104.967,104.737,0.506,48.3,50.1,17.7,18.1,33.3,29.6,29.7,33.4,48.6,50.3,31.7,33.2,
Cal Poly,108.767,110.81,0.447,55.2,53.2,20.7,19.1,27.6,33.2,26.8,32.4,56.0,54.3,36.3,34.4,
Cal St. Bakersfield,105.15,113.059,0.303,48.2,54.3,18.8,18.9,35.6,29.7,34.5,46.9,45.3,54.8,37.2,35.7,
Cal St. Fullerton,91.921,112.065,0.093,44.2,54.3,21.3,16.1,25.9,29.8,39.2,34.1,46.1,55.9,27.0,34.9,
Cal St. Northridge,107.514,105.229,0.561,51.7,50.1,18.8,20.2,35.2,24.3,35.6,44.8,51.6,46.7,34.7,35.7,
California,110.093,105.74,0.614,47.8,53.0,16.6,16.3,34.7,28.8,38.9,32.8,48.2,51.3,31.5,37.6,
Campbell,101.314,106.034,0.372,50.0,52.4,15.8,18.8,24.6,27.7,29.7,29.9,51.5,55.8,31.9,31.1,
Canisius,99.213,121.161,0.091,51.2,56.9,18.5,16.4,18.3,34.3,23.3,31.4,48.4,58.7,36.7,36.2,
Central Arkansas,97.573,116.743,0.113,47.4,56.8,18.2,16.7,28.6,30.0,28.8,22.6,50.2,55.4,29.6,38.7,
Central Connecticut,99.094,101.62,0.428,52.2,47.7,17.2,18.1,26.5,25.3,25.9,18.9,53.7,49.0,32.9,30.6,
Central Michigan,104.924,109.393,0.382,49.8,53.1,17.6,18.2,32.1,29.1,35.8,31.3,51.2,52.5,31.3,35.9,
Charleston,105.28,105.341,0.498,52.4,50.1,16.2,16.4,26.5,28.3,34.6,26.5,51.8,51.4,35.5,32.1,
Charleston Southern,99.096,111.729,0.201,48.7,53.4,19.9,13.5,31.2,28.2,43.9,33.3,50.7,55.4,30.7,32.4,
Charlotte,104.322,112.329,0.299,48.3,54.2,15.1,14.6,25.4,29.2,42.7,37.0,49.6,56.4,31.0,33.3,
Chattanooga,114.371,111.127,0.582,56.5,51.4,15.3,16.3,25.5,29.9,31.7,33.8,57.8,50.5,36.6,35.0,
Chicago St.,92.578,116.2,0.068,44.4,54.9,18.5,18.2,22.6,33.6,26.8,36.9,43.4,55.7,30.6,35.8,
Cincinnati,111.661,95.472,0.858,50.9,48.6,15.5,19.7,32.3,30.1,23.4,24.3,52.6,48.0,32.0,33.2,
Clemson,118.411,94.904,0.927,53.6,48.9,15.7,20.1,33.7,29.9,28.2,27.6,52.3,49.3,37.2,32.2,5.0
Cleveland St.,102.664,103.695,0.471,49.3,50.6,18.3,22.3,34.5,34.1,31.0,38.1,49.6,49.8,32.5,34.5,
Coastal Carolina,101.019,114.896,0.185,49.4,48.6,18.4,10.5,29.0,28.7,34.4,36.9,47.7,48.5,34.8,32.5,
Colgate,104.137,113.151,0.278,54.2,53.3,16.7,16.3,23.7,26.9,22.6,25.5,54.6,51.5,35.7,37.3,
Colorado,108.565,99.055,0.742,50.6,49.5,21.0,16.4,28.9,28.3,36.3,34.8,51.9,48.5,32.2,34.1,
Colorado St.,116.657,98.895,0.87,55.8,48.5,17.4,16.7,26.4,25.3,31.8,33.6,56.5,47.7,36.6,33.1,12.0
Columbia,104.318,116.571,0.218,52.6,56.4,15.4,16.4,25.9,26.7,29.5,25.4,53.9,54.6,33.8,39.2,
Connecticut,121.64,102.142,0.882,55.5,48.3,17.1,15.5,35.6,27.4,30.6,40.0,57.3,46.0,35.4,35.1,8.0
Coppin St.,87.932,112.519,0.055,44.0,55.6,21.6,20.5,26.5,33.9,36.4,37.1,44.2,56.3,29.0,36.3,
Cornell,114.774,110.912,0.597,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,
Creighton,117.379,98.433,0.883,55.8,47.0,18.1,11.7,26.9,27.2,28.5,16.9,60.5,45.8,33.9,32.7,9.0
Dartmouth,100.566,101.847,0.464,50.3,49.1,16.2,13.8,22.8,24.9,30.3,23.2,49.8,52.1,33.9,29.6,
